CREME.TDBModJulian        CREME.EarthMJ2000Eq.X     CREME.EarthMJ2000Eq.Y     CREME.EarthMJ2000Eq.Z     CREME.EarthMJ2000Eq.VX    CREME.EarthMJ2000Eq.VY    CREME.EarthMJ2000Eq.VZ    CREME.ElapsedSecs         CREME.Earth.SMA           CREME.Earth.ECC           CREME.EarthMJ2000Eq.INC   CREME.EarthMJ2000Eq.AOP   CREME.EarthMJ2000Eq.RAAN   CREME.Earth.TA            CREME.DefaultProp_ForceModel.AtmosDensity   
29945.50080073974         4160.654753643215         -5602.074997808763        12.06646228442704         -0.8311739944172626       -0.6011835366131142       7.48792556529475          0                         6978.13990779272          1.321373349190354e-08     97.8                      180.0999999404138         306.6148021947984          180.0000008537737         0.0003864179128450695                       
29945.50091648048         4152.098808899089         -5607.757692922549        86.94353535966701         -0.8799981976778751       -0.5353443714607466       7.487342052002355         10.00000013737008         6978.136380863461         1.483327504619907e-05     97.8000054904533          92.4148241857756          306.6148022368229          268.3057332497            0.0003855979055427885                       
29945.50103222122         4143.055134467548         -5612.781675963766        161.8103635417842         -0.9287189679862826       -0.4694424242886636       7.485876607459879         19.99999996041879         6978.12840966487          2.967839685357122e-05     97.80001355272177         93.93025019950785         306.6148023855925          267.4108646294517         0.0003847648751089435                       
29945.50114796196         4133.524793574496         -5617.146358189655        236.6581283197867         -0.9773305281894398       -0.4034855117321758       7.483529409750592         30.00000009778887         6978.115998392685         4.454152372384062e-05     97.80002419024046         95.4614830740569          306.6148026974905          266.5001891156104         0.0003839200920929554                       
29945.5012637027          4123.508907152638         -5620.851229056847        311.4780134969845         -1.02582711418492         -0.3374814568942877       7.480300743656819         39.99999992083758         6978.099153003428         5.942856848209436e-05     97.80003740371464         96.99544612445328         306.6148032289702          265.5867834024477         0.0003830597977861206                       
29945.50137944345         4113.008653707785         -5623.895856281802        386.2612062582693         -1.074202975563562        -0.2714380884925857       7.476191000730409         50.00000005820766         6978.077881396102         7.434533894166822e-05     97.80005319110043         98.52925892767557         306.6148040364614          264.673527922369          0.0003821843098257945                       
29945.50149518418         4102.025269178509         -5626.27988589252         460.9988982384377         -1.122452376303978        -0.2053632399626638       7.471200679426783         59.99999988125637         6978.052193731951         8.929750036967535e-05     97.80007154763997         100.0617185291049         306.6148051762787          263.7616256394649         0.0003812904253686452                       
29945.50161092493         4090.560046788521         -5628.003042270949        535.6822865920554         -1.170569595532079        -0.1392647484907956       7.465330385273212         70.00000001862645         6978.022102848206         0.0001042905437686073     97.80009246593839         101.5920763430715         306.6148067045351          262.8518251489871         0.0003803762121207618                       
29945.50172666567         4078.61433689111          -5629.065128185296        610.3025750650149         -1.218548928349475        -0.07315045395857181      7.458580831032536         80.00000015599653         6977.987624706423         0.000119329760999584      97.80011593606777         103.1197305871234         306.6148086770603          261.9447282431221         0.0003794405318816214                       
29945.50184240641         4066.189546804982         -5629.466024811315        684.8509750675343         -1.266384686724952        -0.007028197794961989     7.45095283682048          89.99999997904524         6977.948778809903         0.0001344202279445551     97.80014194568598         104.6441256481024         306.6148111493278          261.0408905449772         0.0003784813200084151                       
29945.50195814715         4053.287140640918         -5629.205691741683        759.3187067479287         -1.314071200434119        0.05909417825538808       7.442447330136991         100.0000001164153         6977.905588526619         0.0001495667963787417     97.8001704801604          106.164716558984          306.6148141763871          260.1408570318196         0.000377497173602824                        
29945.50207388789         4039.908639118887         -5628.284166982728        833.6970000661286         -1.361602818025181        0.1252088334262942        7.43306534577977          109.999999939464          6977.858081263897         0.0001647740945393936     97.80020152269154         107.6809594735512         306.6148178128023          259.245171560494          0.0003764856574451248                       
29945.50218962863         4026.055619375486         -5626.701566938031        907.9770958656565         -1.408973907784256        0.1913079292555396        7.422808025619888         120.0000000768341         6977.806288457185         0.0001800465356734458     97.8002350544364          109.1923144600921         306.6148221125976          258.3543740738223         0.0003754447333622881                       
29945.50230536937         4011.729714761834         -5624.458086378761        982.1502469426395         -1.456178858672755        0.2573836309048074        7.411676618234704         129.9999998998828         6977.750245357339         0.0001953883331242066     97.80027105463574         110.6982545359348         306.6148271292092          257.4689915661619         0.0003743738984285014                       
29945.50242111011         3996.93261463235          -5621.553998401007        1056.207719110478         -1.503212081211602        0.3234281084360295        7.399672478408399         140.0000000372529         6977.689990623426         0.0002108035199326297     97.80030950075275         112.1982775816673         306.6148329154452          256.5895261692698         0.0003732698439213146                       
29945.50253685085         3981.666064125031         -5617.989654370699        1130.140792258956         -1.550068008292336        0.3894335380096324        7.386797066524503         149.9999998603016         6977.625565749417         0.000226295970486738      97.8003503686318          113.6919188971933         306.6148395234555          255.7164425963118         0.0003721323845522705                       
29945.50265259159         3965.931863934043         -5613.765483857072        1203.940761406875         -1.596741095902958        0.4553921029781814        7.373051947886418         159.9999999976717         6977.557014372738         0.0002418694215180619     97.80039363268538         115.178762706521          306.614847004716           254.8501566371145         0.0003709593233296621                       
29945.50276833234         3949.7318700755           -5608.881994555762        1277.598937747716         -1.643225823765091        0.5212959948598329        7.358438792008301         170.0000001350418         6977.484381524298         0.0002575274897775662     97.80043926611418         116.6584514026647         306.6148554100267          253.9910259132793         0.0003697481720942069                       
29945.50288407307         3933.067993647292         -5603.339772202802        1351.106649688244         -1.689516695887938        0.5871374141887428        7.342959371920176         179.9999999580905         6977.407712885039         0.0002732736840304042     97.80048724115991         118.1306917243575         306.6148647895303          253.139343701456          0.0003684986661481088                       
