CREME.TDBModJulian        CREME.EarthMJ2000Eq.X     CREME.EarthMJ2000Eq.Y     CREME.EarthMJ2000Eq.Z     CREME.EarthMJ2000Eq.VX    CREME.EarthMJ2000Eq.VY    CREME.EarthMJ2000Eq.VZ    CREME.ElapsedSecs         
29945.50080073974         4160.654753643215         -5602.074997808763        12.06646228442704         -0.8311739944172626       -0.6011835366131142       7.48792556529475          0                         
29945.50091648048         4152.099144537406         -5607.758141469699        86.94354626176815         -0.879931099698137        -0.5354340844763853       7.487344838201217         10.00000013737008         
29945.50103222122         4143.056475716717         -5612.783470134797        161.8104313740585         -0.9285849851437734       -0.4696218235374786       7.485885812224358         19.99999996041879         
29945.50114796196         4133.527807926458         -5617.150394310627        236.6583354023654         -0.9771299434370255       -0.4037544738672932       7.483548658514397         30.00000009778887         
29945.5012637027          4123.514258921777         -5620.858401737532        311.4784783543216         -1.025560280038386        -0.3378397619988806       7.480333651229835         39.99999992083758         
29945.50137944345         4113.017003336544         -5623.907057449724        386.2620834940577         -1.07387031385398         -0.2718854200210892       7.4762411675053           50.00000005820766         
29945.50149518418         4102.037272545565         -5626.296003826299        461.0003783717512         -1.122054377901981        -0.2058991846715553       7.471271687407296         59.99999988125637         
29945.50161092493         4090.576354520129         -5628.024960633195        535.684595852675          -1.170106819977378        -0.1398887964291504       7.465425793877894         70.00000001862645         
29945.50172666567         4078.635593676933         -5629.093725056065        610.3059751456204         -1.218022003315           -0.07386199860598795      7.458704172666351         80.00000015599653         
29945.50184240641         4066.216390720365         -5629.502171724057        684.8557628305769         -1.265794307250732        -0.007826536439099526     7.45110761224867          89.99999997904524         
29945.50195814715         4053.320202478206         -5629.250252724534        759.3252138855476         -1.313418127880848        0.05820984381811629       7.4426370037351           100.0000001164153         
29945.50207388789         4039.948541730729         -5628.337997608687        833.7055927123789         -1.360887878719373        0.1242393958045638        7.433293340765618         109.999999939464          
29945.50218962863         4026.102977033248         -5626.76551338807         907.9881741614851         -1.4081979913534          0.1902543739601323        7.42307771939336          120.0000000768341         
29945.50230536937         4011.785132532119         -5624.532984522046        982.1642445553459         -1.455342916096291        0.2562470344342849        7.411991337956054         129.9999998998828         
29945.50242111011         3996.996687774216         -5621.640672896156        1056.225102710662         -1.502317122638677        0.3222096359944449        7.400035496935448         140.0000000372529         
29945.50253685085         3981.739377509921         -5618.088917791384        1130.16206095904          -1.549115100697195        0.3881344409340787        7.387211598804755         149.9999998603016         
29945.50265259159         3966.014991489623         -5613.878135844377        1203.966446166095         -1.59573136066086         0.4540137159803618        7.373521147864146         159.9999999976717         
29945.50276833234         3949.825374253776         -5609.008820998556        1277.62960074885          -1.642160434235027        0.519839733201326         7.358965750064281         170.0000001350418         
29945.50288407307         3933.172424916522         -5603.481544446178        1351.142883691307         -1.688396875082842        0.5856047709123808        7.343547112817925         179.9999999580905         
29945.50299981382         3916.058096942922         -5597.29695456134         1424.497671558074         -1.734435259464125        0.6513011145820997        7.327267044799662         190.0000000954606         
29945.50311555455         3898.484397919804         -5590.455776823914        1497.685359505937         -1.780270186871593        0.7169210577371693        7.310127455733729         199.9999999185093         
29945.5032312953          3880.453389320262         -5582.958813734444        1570.697362293244         -1.825896280664372        0.7824569028663938        7.292130356169999         210.0000000558794         
29945.50334703604         3861.967186261837         -5574.80694472002         1643.525115286993         -1.871308188698694        0.8479009623236458        7.273277857248136         219.9999998789281         
29945.50346277678         3843.027957258406         -5566.001126031104        1716.160075467498         -1.916500583955726        0.9132455592296618        7.253572170449938         230.0000000162981         
29945.50357851752         3823.637923965806         -5556.542390629366        1788.593722430527         -1.961468165166461        0.9784830283725736        7.233015607339937         240.0000001536682         
29945.50369425826         3803.799360921221         -5546.43184806651         1860.817559386784         -2.006205657433572        1.043605717107072         7.21161057929423          249.9999999767169         
29945.50380999901         3783.514595276371         -5535.67068435412         1932.823114158615         -2.050707812850185        1.108605986252097         7.189359597217618         260.000000114087          
29945.50392573974         3762.786006524524         -5524.260161824532        2004.601940173837         -2.094969411115482        1.173476210986943         7.166265271249068         269.9999999371357         
29945.50404148049         3741.616026221377         -5512.201618982763        2076.145617456556         -2.138985260147061        1.238208781745693         7.142330310455529         280.0000000745058         
29945.50415722122         3720.007137699817         -5499.496470349494        2147.445753614867         -2.182750196689995        1.302796105109842         7.11755752251415          289.9999998975545         
29945.50427296197         3697.961875778617         -5486.146206295142        2218.493984825322         -2.226259086922506        1.367230604699049         7.091949813382922         300.0000000349246         
29945.50438870271         3675.482826465093         -5472.152392865032        2289.281976814042         -2.269506827058177        1.431504722059878         7.065510186959798         309.9999998579733         
29945.50450444345         3652.572626651754         -5457.516671595695        2359.801425834361         -2.312488343944658        1.495610917552431         7.038241744730327         319.9999999953434         
29945.50462018419         3629.233963806977         -5442.240759322305        2430.044059640896         -2.355198595658762        1.559541671234791         7.010147685403834         330.0000001327135         
29945.50473592493         3605.469575659763         -5426.326447977291        2500.001638459921         -2.397632572097911        1.623289483745136         6.981231304538193         339.9999999557622         
29945.50485166567         3581.282249878584         -5409.775604380131        2569.665955955921         -2.439785295567835        1.686846877181456         6.95149599415325          350.0000000931323         
29945.50496740641         3556.674823744375         -5392.590170018372        2639.028840194239         -2.481651821366488        1.750206395978734         6.920945242332918         359.999999916181          
29945.50508314715         3531.650183817718         -5374.772160819876        2708.082154599676         -2.523227238364079        1.813360607783524         6.889582632816016         370.000000053551          
29945.50519888789         3506.211265600226         -5356.323666916351        2776.817798910947         -2.564506669579163        1.876302104325797         6.857411844575878         379.9999998765998         
