JD_TBD,MET,segmentID,segmentType,configID,propaMode,forcesID,atmosModel,activeSC,x,y,z,vx,vy,vz,EarthOESMA,EarthOEeccentricity,EarthOERAAN,EarthOEargPeriapsis,EarthOEinclination,EarthOEtrueAnomaly,EarthOEmeanAnomaly
2459945.50080074,0.0,0,0,0,1,0,nrlmsise00,0,4160654.753643215,-5602074.997808764,12066.46228442704,-831.1739944172626,-601.1835366131141,7487.92556529475,6978139.907792717,1.3213733491903534e-08,306.61480219479836,180.10000001518875,97.8,179.99999998481127,179.99999998481127
2459945.5009164806,10.0,0,0,0,1,0,nrlmsise00,0,4152099.1445374037,-5607758.1414697,86943.54626176832,-879.9310996981372,-535.4340844763848,7487.3448382012175,6978139.907792717,1.3213733545616828e-08,306.61480219479836,180.09999985052278,97.8,180.62055760799154,180.62055762439095
2459945.5010322216,20.0,0,0,0,1,0,nrlmsise00,0,4143056.475716715,-5612783.470134798,161810.43137405918,-928.5849851437738,-469.6218235374778,7485.885812224357,6978139.907792717,1.3213733489965485e-08,306.61480219479836,180.0999999960235,97.8,181.24111492100704,181.241114953804
2459945.501147962,30.0,0,0,0,1,0,nrlmsise00,0,4133527.8079264564,-5617150.394310627,236658.33540236636,-977.1299434370264,-403.7544738672919,7483.548658514395,6978139.907792717,1.3213733676164886e-08,306.61480219479836,180.09999989126067,97.8,181.86167248429004,181.86167253348066
2459945.5012637028,40.0,0,0,0,1,0,nrlmsise00,0,4123514.258921775,-5620858.401737533,311478.47835432296,-1025.560280038387,-337.8397619988791,7480.333651229835,6978139.907792716,1.3213733523201339e-08,306.61480219479836,180.0999999085819,97.8,182.48222992549466,182.48222999107318
2459945.501379444,50.0,0,0,0,1,0,nrlmsise00,0,4113017.003336542,-5623907.057449724,386262.08349405933,-1073.8703138539804,-271.88542002108744,7476.241167505299,6978139.907792717,1.3213733637121018e-08,306.61480219479836,180.10000013901072,97.8,183.1027871535994,183.10278723555814
2459945.5014951844,60.0,0,0,0,1,0,nrlmsise00,0,4102037.272545562,-5626296.003826299,461000.3783717532,-1122.0543779019827,-205.89918467155303,7471.271687407294,6978139.907792716,1.3213733708159268e-08,306.61480219479836,180.09999975809163,97.8,183.72334499306166,183.723345091391
2459945.501610925,70.0,0,0,0,1,0,nrlmsise00,0,4090576.3545201267,-5628024.960633197,535684.5958526772,-1170.1068199773797,-139.88879642914824,7465.425793877892,6978139.907792717,1.3213733466068384e-08,306.61480219479836,180.0999999613016,97.8,184.34390224840638,184.34390236309477
2459945.501726666,80.0,0,0,0,1,0,nrlmsise00,0,4078635.5936769294,-5629093.725056065,610305.9751456229,-1218.0220033150013,-73.86199860598566,7458.704172666349,6978139.907792717,1.3213733483826733e-08,306.61480219479836,180.09999997687672,97.8,184.96445969139947,184.9644598224335
2459945.5018424066,90.0,0,0,0,1,0,nrlmsise00,0,4066216.390720362,-5629502.171724057,684855.7628305797,-1265.7943072507337,-7.8265364390968415,7451.107612248667,6978139.907792714,1.321373376760124e-08,306.61480219479836,180.09999989696496,97.8,185.58501722989476,185.585017377259
2459945.501958147,100.0,0,0,0,1,0,nrlmsise00,0,4053320.2024782025,-5629250.252724534,759325.213885551,-1313.418127880851,58.2098438181194,7442.637003735097,6978139.907792714,1.3213733887187031e-08,306.61480219479836,180.0999999412283,97.80000000000003,186.20557464423226,186.20557480790944
2459945.502073888,110.0,0,0,0,1,0,nrlmsise00,0,4039948.541730725,-5628337.997608687,833705.5927123826,-1360.8878787193764,124.23939580456718,7433.2933407656155,6978139.907792716,1.3213733736053608e-08,306.61480219479836,180.1000000051663,97.8,186.8261320389143,186.82613221888522
2459945.502189629,120.0,0,0,0,1,0,nrlmsise00,0,4026102.977033244,-5626765.513388069,907988.1741614889,-1408.1979913534035,190.25437396013612,7423.077719393357,6978139.907792716,1.3213733654729867e-08,306.61480219479836,180.09999992609036,97.8,187.4466895766314,187.44668977287495
2459945.50230537,130.0,0,0,0,1,0,nrlmsise00,0,4011785.1325321137,-5624532.9845220465,982164.24455535,-1455.342916096294,256.24703443428893,7411.991337956051,6978139.907792717,1.3213733670475808e-08,306.61480219479836,180.09999980869188,97.8,188.067247152694,188.06724736518717
2459945.5024211104,140.0,0,0,0,1,0,nrlmsise00,0,3996996.687774211,-5621640.672896156,1056225.1027106664,-1502.3171226386808,322.2096359944494,7400.035496935443,6978139.907792717,1.3213733753335272e-08,306.61480219479836,180.0999997531418,97.8,188.68780466693318,188.68780489565103
2459945.502536851,150.0,0,0,0,1,0,nrlmsise00,0,3981739.377509916,-5618088.917791386,1130162.0609590444,-1549.1151006971986,388.13444093408356,7387.211598804752,6978139.907792716,1.321373357346861e-08,306.61480219479836,180.0999996020376,97.8,189.3083622767533,189.308362521669
